DBN,School Name,NumberofTestTakers,CriticalReadingMean,MathematicsMean,WritingMean
15K698,South Brooklyn Community High School ,Bajo,387,371,368
16K393,Frederick Douglass Academy IV Seconday School ,Bajo,429,421,424
16K455,BOYS AND GIRLS HIGH SCHOOL ,Alto,369,367,366
16K498,Acorn High School for Social Justice ,Medio,367,364,364
16K594,Gotham Professional Arts Academy ,Bajo,,,
17K382,ACADEMY FOR COLLEGE PREPARATION CAREER ,Medio,401,412,404
17K408,ACADEMY OF HOSPITALITY AND TOURISM ,Medio,400,405,399
17K440,Prospect Heights High School ,Bajo,388,373,374
17K467,YABC AT ERASMUS CAMPUS ,Bajo,,,
17K469,Campus School of the Humanities at Erasmus Hall ,Bajo,,,
17K470,George Wood Wingate High School ,Bajo,,,
17K489,W E B DUBOIS HIGH SCHOOL ,Bajo,381,344,360
17K524,International High School @Prospect Hgt ,Medio,302,339,325
17K528,HIGH SCHOOL FOR GLOBAL CITIZENSHIP ,Medio,382,387,381
17K531,SCHOOL FOR HUMAN RIGHTS ,Bajo,357,391,343
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP ,Bajo,358,378,372
17K537,HS FOR YOUTH CMMTY DEVLPMT AT ERASMUS ,Medio,361,376,365
17K539,HS FOR SERVICE AND LEARNING AT ERASMUS ,Medio,371,366,381
17K543,SCIENCE TECH RESEARCH HS AT ERASMUS ,Medio,445,425,415
17K544,INTERNATIONAL ARTS BUSINESS HS ,Medio,392,390,381
17K546,HIGH SCHOOL FOR PUBLIC SERVICE ,Medio,412,427,420
17K547,Brooklyn High School for Science and the Environ ,Medio,391,396,388
17K548,BROOKLYN HS MUSIC AND THEATER ,Medio,385,351,381
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL ,Bajo,356,358,366
17K590,Medgar Evers College Preparatory High School ,Alto,459,482,452
17K600,Clara Barton High School ,Alto,419,413,411
17K625,Paul Robeson High School ,Alto,355,358,348
18K415,SAMUEL J TILDEN HIGH SCHOOL ,Medio,328,341,338
18K500,CANARSIE HIGH SCHOOL ,Alto,372,373,364
18K501,YABC AT CANARSIE HIGH SCHOOL ,Bajo,,,
18K515,SOUTH SHORE HIGH SCHOOL ,Bajo,365,352,336
18K563,IT TAKES A VILLAGE ACADEMY ,Bajo,,,
25Q540,QUEENS ACADEMY ,Bajo,400,395,391
18K566,BROOKLYN GENERATION SCHOOL ,Bajo,,,
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL ,Bajo,,,
18K569,Kurt Hahn Expeditionary Learning School ,Bajo,,,
18K576,VICTORY COLLEGIATE HIGH SCHOOL ,Bajo,,,
18K578,BROOKLYN BRIDGE ACADEMY OF S SHORE ED CO ,Bajo,389,358,369
18K589,ARTS & MEDIA PREPARATORY ACADEMY ,Bajo,,,
18K617,High School for Innovation in Advertising and Media ,Bajo,,,
18K629,Cultural Academy for the Arts and Sciences ,Bajo,,,
18K633,High School for Medical Professions ,Bajo,,,
18K635,OLYMPUS ACADEMY ,Bajo,361,365,365
18K642,Urban Action Academy ,Bajo,,,
18K673,East Brooklyn Community High School ,Bajo,,,
19K409,EAST NEW YORK FAMILY ACADEMY ,Medio,435,428,414
19K420,FRANKLIN K LANE HIGH SCHOOL ,Alto,353,379,341
19K431,"YOUNG ADULT BOROUGH CTR, THOMAS JEFFERS ",Bajo,,,
19K435,THOMAS JEFFERSON HIGH SCHOOL ,Bajo,,,
19K502,FDNY HIGH SCH DOR FIRE & LIFE ,Bajo,376,375,363
19K504,HIGH SCHOOL FOR CIVIL RIGHTS ,Bajo,369,372,380
19K507,PERFORMING ARTS & TECH HIGH SCHOOL ,Medio,371,363,356
19K510,World Acad for Total Community Health ,Bajo,370,371,376
19K583,Multicultural High School ,Bajo,,,
19K615,East New York High School of Transit Technology ,Alto,413,419,403
19K618,Academy of Innovative Technology High School ,Bajo,,,
19K639,Brooklyn Lab School ,Bajo,,,
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCH ,Medio,398,402,378
19K660,William H Maxwell Voc High School ,Medio,355,367,355
19K683,SCHOOL FOR CLASSICS ,Bajo,,,
20K445,NEW UTRECHT HIGH SCHOOL ,Alto,409,471,407
20K485,High School of Telecommunication Arts ,Alto,450,471,440
20K490,FORT HAMILTON HIGH SCHOOL ,Alto,416,486,409
20K505,Franklin D Roosevelt High School ,Alto,387,492,377
20K658,YABC at Franklin D. Roosevelt High School ,Medio,363,443,369
